India, idPais=44, numCiudad=60, numDirec=53
Kazakstan, idPais=51, numCiudad=2, numDirec=1
Kuwait, idPais=53, numCiudad=1, numDirec=1
Liechtenstein, idPais=55, numCiudad=1, numDirec=1
Madagascar, idPais=57, numCiudad=1, numDirec=1
Malawi, idPais=58, numCiudad=1, numDirec=1
Moldova, idPais=61, numCiudad=1, numDirec=1
Nepal, idPais=66, numCiudad=1, numDirec=1
New Zealand, idPais=68, numCiudad=1, numDirec=1
North Korea, idPais=70, numCiudad=1, numDirec=1
Oman, idPais=71, numCiudad=2, numDirec=1
Romania, idPais=78, numCiudad=2, numDirec=1
Runion, idPais=79, numCiudad=1, numDirec=1
Saint Vincent and the Grenadines, idPais=81, numCiudad=1, numDirec=1
Senegal, idPais=83, numCiudad=1, numDirec=1
Slovakia, idPais=84, numCiudad=1, numDirec=1
Sri Lanka, idPais=88, numCiudad=1, numDirec=1
Sweden, idPais=90, numCiudad=1, numDirec=1
Tonga, idPais=95, numCiudad=1, numDirec=1
Tunisia, idPais=96, numCiudad=1, numDirec=1
Turkmenistan, idPais=98, numCiudad=1, numDirec=1
Tuvalu, idPais=99, numCiudad=1, numDirec=1
Virgin Islands, idPais=106, numCiudad=1, numDirec=1
Yugoslavia, idPais=108, numCiudad=2, numDirec=1
Zambia, idPais=109, numCiudad=1, numDirec=1
Bahrain, idPais=11, numCiudad=1, numDirec=0
Chad, idPais=21, numCiudad=1, numDirec=0
Gambia, idPais=37, numCiudad=1, numDirec=0
Hungary, idPais=43, numCiudad=1, numDirec=0
Iraq, idPais=47, numCiudad=1, numDirec=0
Lithuania, idPais=56, numCiudad=1, numDirec=0
Nauru, idPais=65, numCiudad=1, numDirec=0
